"indicator","Chlorophyll"
"unit","Standardized Monthly Anomaly"
"extent","US Gulf EEZ"
"1997-09","-1.02369795383093"
"1997-10","-1.25195731998658"
"1997-11","-0.788376835917638"
"1997-12","0.331098446925481"
"1998-01","0.613719560015554"
"1998-02","1.43950560960465"
"1998-03","1.87616580882558"
"1998-04","1.92797297759721"
"1998-05","2.39834969540019"
"1998-06","1.1728168279988"
"1998-07","0.726647053058026"
"1998-08","-0.875414337483436"
"1998-09","0.107895676614672"
"1998-10","-0.0294712737807104"
"1998-11","-1.57668199025139"
"1998-12","-1.05984987752214"
"1999-01","-1.27739603034891"
"1999-02","-1.22773879497187"
"1999-03","-0.176365907245404"
"1999-04","-0.41303281065422"
"1999-05","-0.502638224315198"
"1999-06","-0.876537560275208"
"1999-07","-0.759915423534488"
"1999-08","-0.264658584480474"
"1999-09","-1.00335387979017"
"1999-10","-1.4039244177649"
"1999-11","-1.66971597746446"
"1999-12","-0.72833539925045"
"2000-01","-1.60452532724391"
"2000-02","-1.55763325281397"
"2000-03","-1.45574203849434"
"2000-04","-1.35672010045517"
"2000-05","-1.77869803979462"
"2000-06","-2.05730704443437"
"2000-07","-1.48573687077809"
"2000-08","-0.954877612053052"
"2000-09","-1.15061024190893"
"2000-10","-1.2328737592262"
"2000-11","-0.495359594614934"
"2000-12","-0.260651438091819"
"2001-01","-0.308516268631307"
"2001-02","-1.03730358562984"
"2001-03","0.0433508284554085"
"2001-04","-0.17611489817514"
"2001-05","-0.919486350011146"
"2001-06","-0.543062926262497"
"2001-07","-0.792457171859088"
"2001-08","-0.643583380198518"
"2001-09","-0.910453876635218"
"2001-10","0.233765679866284"
"2001-11","-0.560370576616161"
"2001-12","-0.969850290880368"
"2002-01","-0.652098165010706"
"2002-02","-0.484932924752838"
"2002-03","-0.0934815862194522"
"2002-04","-0.859094349395657"
"2002-05","-0.0797819583153997"
"2002-06","-0.670056990707517"
"2002-07","-0.381681103902934"
"2002-08","-0.860264136893666"
"2002-09","0.554845975816198"
"2002-10","0.673747206170891"
"2002-11","1.35473531810103"
"2002-12","1.14000142460792"
"2003-01","1.43378597679785"
"2003-02","0.585988407958784"
"2003-03","0.0544458891622902"
"2003-04","1.12044465739028"
"2003-05","0.779172549707771"
"2003-06","1.11339178319469"
"2003-07","0.984517587387976"
"2003-08","0.904346642347053"
"2003-09","0.336470884207484"
"2003-10","0.443068992013555"
"2003-11","-0.521414091685573"
"2003-12","1.26637620962355"
"2004-01","-0.291696924434876"
"2004-02","0.734707093158561"
"2004-03","-0.231475366182231"
"2004-04","0.547982126285096"
"2004-05","-0.462084522720762"
"2004-06","-0.21026750470192"
"2004-07","0.881195148782484"
"2004-08","0.20149735023412"
"2004-09","0.444586633751374"
"2004-10","0.811775598642868"
"2004-11","0.630019089051603"
"2004-12","1.42845774930868"
"2005-01","0.126056137623892"
"2005-02","0.276356843861934"
"2005-03","1.01584608737956"
"2005-04","1.22122269602477"
"2005-05","0.979484196089409"
"2005-06","-0.28236027242508"
"2005-07","-0.548565370097316"
"2005-08","-0.0434606615277524"
"2005-09","1.80879122882607"
"2005-10","1.79891888928879"
"2005-11","1.13326918728261"
"2005-12","0.916913405975978"
"2006-01","-0.0722106556370311"
"2006-02","0.547982349620765"
"2006-03","-0.389672565791311"
"2006-04","-0.945824664959161"
"2006-05","-0.490192891159079"
"2006-06","-0.786331990417187"
"2006-07","-1.70748108513243"
"2006-08","-1.54542488419871"
"2006-09","-1.02904106621892"
"2006-10","-0.274017604727748"
"2006-11","1.13874600636814"
"2006-12","0.534795746582665"
"2007-01","-0.862519617110251"
"2007-02","1.22164089206426"
"2007-03","0.106882951643929"
"2007-04","0.565871101502166"
"2007-05","0.0596064227719392"
"2007-06","-0.0922998859575065"
"2007-07","-0.315760631966811"
"2007-08","0.31144186475833"
"2007-09","-0.00618664623399153"
"2007-10","0.0927374022860031"
"2007-11","-0.0526391159612706"
"2007-12","-1.08173136561485"
"2008-01","-0.361097045365413"
"2008-02","-0.642345965914045"
"2008-03","0.698430275795783"
"2008-04","0.167861981876367"
"2008-05","2.47075148917403"
"2008-06","1.60172572301508"
"2008-07","1.72264341123364"
"2008-08","1.42830328668035"
"2008-09","1.6733727729825"
"2008-10","1.75961601259872"
"2008-11","1.30737204431234"
"2008-12","0.95749359966443"
"2009-01","0.0622946345299917"
"2009-02","0.513355504547384"
"2009-03","-0.0379814505411614"
"2009-04","0.637781313111032"
"2009-05","0.11484250847494"
"2009-06","1.42658838581569"
"2009-07","0.945483880138354"
"2009-08","-0.455310353912564"
"2009-09","-0.884241149897588"
"2009-10","-0.407087800965574"
"2009-11","1.76176564228385"
"2009-12","1.4684090332852"
"2010-01","2.11494630396331"
"2010-02","1.928376618804"
"2010-03","3.80199040566679"
"2010-04","2.92626784914047"
"2010-05","1.292021008029"
"2010-06","0.968715736758726"
"2010-07","0.0452959153647467"
"2010-08","0.0400350158213225"
"2010-09","-0.419894197278866"
"2010-10","-0.832004923360046"
"2010-11","-0.689444318954826"
"2010-12","0.951884182133344"
"2011-01","1.33989915358604"
"2011-02","0.326061057938086"
"2011-03","-0.518199531623208"
"2011-04","-0.0159043137963911"
"2011-05","0.498577564536776"
"2011-06","1.68533111944795"
"2011-07","1.02073809503573"
"2011-08","0.528786736199314"
"2011-09","-0.134475439619887"
"2011-10","0.197298820312174"
"2011-11","0.00899601072162081"
"2011-12","0.0278785623444839"
"2012-01","-0.498891199264412"
"2012-02","-0.742259081502552"
"2012-03","-0.83479005110306"
"2012-04","-0.80170951623741"
"2012-05","-1.42029394227838"
"2012-06","-1.03718033978043"
"2012-07","-1.90156330182766"
"2012-08","-1.86895180967019"
"2012-09","-1.32353541047895"
"2012-10","-1.77303312893258"
"2012-11","-1.39910259885999"
"2012-12","-1.55000964601545"
"2013-01","-1.73309609766809"
"2013-02","-0.73782321114096"
"2013-03","0.54115333929596"
"2013-04","-0.339247704089281"
"2013-05","-0.661788528541423"
"2013-06","-0.481644669953904"
"2013-07","0.171263242290179"
"2013-08","0.169864085365181"
"2013-09","-0.474051869036863"
"2013-10","-0.990681722958846"
"2013-11","-0.599850824676564"
"2013-12","-0.906055853501511"
"2014-01","0.65047874506144"
"2014-02","-0.18243489718259"
"2014-03","-0.131196447943633"
"2014-04","-0.246771713242727"
"2014-05","-0.0494062948124554"
"2014-06","-0.361052382416329"
"2014-07","-0.0179605406012663"
"2014-08","-0.00854386759861757"
"2014-09","-1.29377913435761"
"2014-10","-1.34690299612689"
"2014-11","1.58135743177792"
"2014-12","-0.459565363779796"
"2015-01","0.109554655861278"
"2015-02","-0.188492375113553"
"2015-03","-0.688851925025636"
"2015-04","-1.07517753589715"
"2015-05","-1.0713644593954"
"2015-06","-0.536545781751252"
"2015-07","0.522588404920015"
"2015-08","0.887007643024655"
"2015-09","-0.37698534270973"
"2015-10","-0.201981146222679"
"2015-11","-0.201689419313481"
"2015-12","-0.294306983459147"
"2016-01","0.960927078092979"
"2016-02","1.9416837926356"
"2016-03","0.647081188286484"
"2016-04","0.82937388161635"
"2016-05","0.161486539093871"
"2016-06","0.368214686726924"
"2016-07","-0.137222277492752"
"2016-08","-1.18831237009635"
"2016-09","-1.1610649513271"
"2016-10","-1.71903121845944"
"2016-11","-1.13615489546478"
"2016-12","-1.14745161460314"
"2017-01","-1.15528345334937"
"2017-02","-1.02829398190474"
"2017-03","-0.701295181388254"
"2017-04","-0.899823132933304"
"2017-05","0.0892604014859683"
"2017-06","0.168113710755963"
"2017-07","0.130972865946582"
"2017-08","0.242201175244686"
"2017-09","0.768207771586486"
"2017-10","0.436816092186897"
"2017-11","-0.500134707837383"
"2017-12","-0.426335248063679"
"2018-01","0.775123039901244"
"2018-02","-1.74673725354293"
"2018-03","-0.827619292353857"
"2018-04","-0.271004927722989"
"2018-05","-0.161037273025568"
"2018-06","-0.0573666643614328"
"2018-07","0.279999475518018"
"2018-08","0.00543126536474981"
"2018-09","-0.642944421969595"
"2018-10","0.342347350883488"
"2018-11","1.27953275891186"
"2018-12","2.20952842426397"
"2019-01","1.78562762043199"
"2019-02","0.491498773598812"
"2019-03","0.249660464632271"
"2019-04","0.783632003058186"
"2019-05","0.985206452971409"
"2019-06","2.34403947237883"
"2019-07","1.97077043614933"
"2019-08","3.11861283384999"
"2019-09","0.677733888649025"
"2019-10","0.241219349516121"
"2019-11","0.778456725835193"
"2019-12","-0.099663871289556"
"2020-01","-0.479211810275366"
"2020-02","0.703548064788592"
"2020-03","-0.202189416556852"
"2020-04","0.342673842241247"
"2020-05","0.636319911971727"
"2020-06","0.0603506840661383"
"2020-07","1.34176061973707"
"2020-08","-0.1931026823183"
"2020-09","0.306017758427524"
"2020-10","0.93787161294521"
"2020-11","0.204986478667144"
"2020-12","0.831450109182516"
"2021-01","0.67131044399305"
"2021-02","0.0701658151614528"
"2021-03","-0.675774941269136"
"2021-04","-0.505514571449032"
"2021-05","-0.637040284251886"
"2021-06","-0.0140257935252762"
"2021-07","0.123384831855959"
"2021-08","0.663499434737395"
"2021-09","1.429019350881"
"2021-10","0.886184261699927"
"2021-11","1.00919907562455"
"2021-12","-1.06010330472134"
"2022-01","0.0474987046364051"
"2022-02","-0.0240765833744906"
"2022-03","-0.427386297425683"
"2022-04","-0.568125499457786"
"2022-05","-0.534230984207378"
"2022-06","-0.666318597015392"
"2022-07","-0.378402844879689"
"2022-08","1.2960599783149"
"2022-09","0.360034436379669"
"2022-10","0.97198099182376"
"2022-11","-0.375349729407113"
"2022-12","-0.91406901124187"
"2023-01","-1.4684848096888"
"2023-02","-0.621009321476244"
"2023-03","-0.802763557814346"
"2023-04","-0.832458848962605"
"2023-05","-0.348776300569426"
"2023-06","-0.733879423758392"
"2023-07","-1.66316723810448"
"2023-08","-0.723488287872364"
"2023-09","1.85890226859835"
"2023-10","0.785205929880873"
"2023-11","-0.792927742553816"
"2023-12","0.224501735396741"
"2024-01","0.112757101376545"
"2024-02","0.745438768953642"
"2024-03","-0.557108509784091"
"2024-04","-0.620440246242912"
"2024-05","-0.954646831758092"
"2024-06","-0.807773866042674"
"2024-07","-0.356093651965407"
"2024-08","0.0205425820427591"
"2024-09","-0.138260885783464"
"2024-10","1.25431151952336"
"2024-11","0.00492770420086108"
"2024-12","-0.160780996179017"
"2025-01","-0.0389517518431511"
"2025-02","-1.3052283633759"
"2025-03","-0.283113172382405"
"2025-04","-1.14411959617223"
"2025-05","-0.393611854550821"
"2025-06","-0.695276436372456"
"2025-07","-0.421253455275703"
"2025-08","-0.192236925680822"
"2025-09","1.64669782035748"
"2025-10","-0.40389839712672"
"2025-11","-0.834151053559333"
"2025-12","-1.17002836508084"
